Model,CV RMSE,CV MAE,CV R2,Test MAE,Test MSE,Test RMSE,Test R2
Gradient Boosting,3.770732526794405,2.457596200702006,0.8281780206643502,1.9186574059316428,7.302793076761227,2.702368049833558,0.9004170688863031
Random Forest,4.047919549624476,2.556090331790125,0.806690804691776,2.0869852941176443,9.009707867647034,3.0016175418675566,0.877141100876387
Ridge Regression,4.933986123416662,3.5154071353196796,0.7136326677759721,3.1445781286998344,24.987015148740074,4.998701346223845,0.6592700652833736
Linear Regression,4.9354551199271235,3.5218394663284394,0.7134654200798393,3.1476094364585263,24.983445419911973,4.998344267846301,0.6593187431051668
