feature,importance
RM,0.5075378014959258
LSTAT,0.2629677329887932
DIS,0.07879303852658108
CRIM,0.04042152719261907
NOX,0.036880542294452714
PTRATIO,0.03603754438373561
TAX,0.012228704413431928
AGE,0.01036208469234645
B,0.009451517425662108
INDUS,0.0021104379591142717
RAD,0.0019133599476820258
CHAS,0.0011760134233307733
ZN,0.0001196952563250454
